query_id,query,recipe_id,name,rank,score,source,v1_overlap
Q1,얼큰한 국물 요리,324,된장시금치옹심이,3,0.027313,v3_hybrid,False
Q1,얼큰한 국물 요리,423,해물들깨탕,4,0.025992,v3_hybrid,False
Q1,얼큰한 국물 요리,750,콩비지완자탕,5,0.02425,v3_hybrid,False
Q1,얼큰한 국물 요리,327,삼색소면,6,0.023994,v3_hybrid,False
Q1,얼큰한 국물 요리,37,된장국,7,0.023796,v3_hybrid,False
Q1,얼큰한 국물 요리,408,맑은육개장,8,0.022759,v3_hybrid,False
Q1,얼큰한 국물 요리,967,사과와 양파를 곁들인 돼지등심 요리,10,0.016393,v3_hybrid,False
Q3,아이 간식,18,버섯 두유 소스 볶음,1,0.016393,v3_hybrid,False
Q3,아이 간식,19,백일송이버섯 볶음,3,0.016129,v3_hybrid,False
Q3,아이 간식,21,땅콩소스 버섯가지나물,5,0.015873,v3_hybrid,False
Q3,아이 간식,28,새우 두부 계란찜,7,0.015625,v3_hybrid,False
Q3,아이 간식,29,부추 콩가루 찜,9,0.015385,v3_hybrid,False
Q4,매운 반찬,692,양배추두부찜과 양파케첩소스,1,0.029828,v3_hybrid,False
Q4,매운 반찬,583,호박잎삼계,4,0.023175,v3_hybrid,False
Q4,매운 반찬,879,꽃게강정,5,0.016393,v3_hybrid,False
Q4,매운 반찬,831,곤약 콩조림,8,0.015873,v3_hybrid,False
Q4,매운 반찬,799,채소 커리를 곁들인 팬케익,9,0.015625,v3_hybrid,False
Q2,다이어트 샐러드,74,돌나물 샐러드,1,0.029572,v3_hybrid,False
Q2,다이어트 샐러드,1021,스테이크 샐러드,4,0.028382,v3_hybrid,False
Q2,다이어트 샐러드,641,훈제오리가슴살 샐러드,6,0.027885,v3_hybrid,False
Q2,다이어트 샐러드,934,과일 요구르트 샐러드,7,0.02781,v3_hybrid,False
Q5,고단백 요리,861,케이준 스타일 닭고기 요리,2,0.029387,v3_hybrid,False
Q5,고단백 요리,967,사과와 양파를 곁들인 돼지등심 요리,4,0.016393,v3_hybrid,False
Q5,고단백 요리,817,비트와 호두 요리,5,0.016129,v3_hybrid,False
Q5,고단백 요리,18,버섯 두유 소스 볶음,9,0.015385,v3_hybrid,False
