query_id,query,retrieved_doc_id,doc_title,llm_judgment,llm_confidence,llm_reason,needs_review,opus_judgment,opus_reason,human_judgment,human_override_reason,final_label
Q1,얼큰한 국물 요리,295,해물순두부된장찌개,0,,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",false,,,0,,0
Q1,얼큰한 국물 요리,140,매생이순두부탕,0,,매운맛 재료가 포함되어 있지 않아 매운맛 조건을 충족하지 못했다.,false,,,0,,0
Q1,얼큰한 국물 요리,2977,얼큰 콩나물 수제비,1,,"카테고리가 일품 중 국물요리이며, 조리방식이 끓이기이고, 매운맛 재료로 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q1,얼큰한 국물 요리,266,대구지리탕,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 붉은 고추가 포함되어 있어 모든 조건을 충족했다.",false,,,0,지리탕은 맑은탕 계열로 기준 문서 not relevant 명시,0
Q1,얼큰한 국물 요리,630,설렁탕쑥떡볶이,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 홍고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q1,얼큰한 국물 요리,334,주꾸미연포탕,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추가 포함되어 있어 모든 조건을 충족했다.",false,,,0,연포탕은 맑은탕 계열,0
Q1,얼큰한 국물 요리,427,코다리맑은탕,0,,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",false,,,0,,0
Q1,얼큰한 국물 요리,578,초계탕,0,,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",false,,,0,,0
Q1,얼큰한 국물 요리,138,부대된장찌개,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 홍고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q1,얼큰한 국물 요리,137,된장 두부찌개,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,3183,바나나미숫가루쉐이크,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 없어서 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,613,인절미 무스와 수정과 아이스크림,0,,강한 향신료인 계피와 생강이 포함되어 있어 자극 재료 없음 조건을 충족하지 못했다.,false,,,0,,0
Q3,아이 간식,1110,완두콩 롤,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,1135,군고구마 라떼,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 없고, 모든 조건이 명시적으로 충족되었다.",false,,,1,,1
Q3,아이 간식,1131,쌀콩죽 요거트,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,1057,누룽지 요거트 파르페,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,1058,자색고구마 호떡,0,,재료 목록에 계피가루가 포함되어 있어 강한 향신료 조건을 불충족했다.,false,,,0,,0
Q3,아이 간식,1115,바나나 생강 크림이 들어간 미숫가루 쿠키슈,0,,강한 향신료인 생강이 포함되어 있어 조건을 불충족했다.,false,,,0,,0
Q3,아이 간식,1112,약밥 닮은 호떡,0,,"카테고리는 후식으로 충족하지만, 재료 목록에 계피가루가 포함되어 있어 강한 향신료 조건을 불충족한다.",false,,,0,,0
Q3,아이 간식,1106,코마레티,0,,강한 향신료인 코코넛슬라이스가 포함되어 있어 자극 재료 조건을 충족하지 못했다.,false,,,1,코코넛슬라이스는 강한 향신료 아님,1
Q4,매운 반찬,383,매운닭날개구이,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루와 멕시코고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3016,매운락교무침,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,827,고추 장떡,1,,"카테고리가 반찬이며, 매운맛 재료인 고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,306,오색볶음면,0,,"카테고리가 일품으로 반찬에 해당하지 않으며, 매운맛 재료가 명시적으로 포함되어 있지 않아 조건을 충족하지 못했다.",false,,,0,,0
Q4,매운 반찬,869,낙지볶음면,0,,"카테고리가 일품으로 반찬에 해당하지 않으며, 매운맛 재료가 포함되어 있지만 카테고리 조건을 충족하지 않아 불충족.",false,,,0,,0
Q4,매운 반찬,739,꼬막떡꼬치구이,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3298,매운요거트 토마토샐러드,1,,"카테고리가 반찬이며, 매운맛 재료로 고추장이 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,880,낙지강회,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3572,참나물 매콤함박스테이크,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3087,잎채소튀김,0,,매운맛 재료가 포함되어 있지 않아 매운 반찬 조건을 충족하지 못했다.,false,,,0,,0
Q2,다이어트 샐러드,82,건강그린 샐러드와 고소한 두유드레싱,1,,"형태가 '샐러드'로 명시되어 있고, 칼로리가 1인분 350 kcal 이하이며, 드레싱의 주재료가 마요네즈를 포함하나 소량이므로 relevant 유지.",false,,,1,,1
Q2,다이어트 샐러드,865,구운 닭고기 샐러드와 저나트륨 과일 드레싱,1,,"형태가 '샐러드'로 명시되어 있고, 칼로리가 246 kcal로 350 kcal 이하이며, 드레싱의 주재료가 마요네즈나 크림이 아니므로 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,201,민들레 샐러드,1,,"형태가 샐러드로 명확히 확인되며, 칼로리가 350 kcal 이하이고 드레싱에 마요네즈나 크림이 포함되지 않아 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,826,참기름 드레싱의 즉석 샐러드,1,,"형태가 샐러드로 명확히 확인되며, 칼로리가 350 kcal 이하이고 드레싱에 마요네즈나 크림이 포함되지 않아 모든 조건을 충족했다.",false,,,1,,1
