query_id,query_text,rank,recipe_id,recipe_name,score,relevant,reason,judged_at
Q1,얼큰한 국물 요리,1,295,해물순두부된장찌개,0.7524,0,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",2026-04-23T14:07:02
Q1,얼큰한 국물 요리,2,140,매생이순두부탕,0.7462,0,매운맛 재료가 포함되어 있지 않아 매운맛 조건을 충족하지 못했다.,2026-04-23T14:07:04
Q1,얼큰한 국물 요리,3,2977,얼큰 콩나물 수제비,0.745,1,"카테고리가 일품 중 국물요리이며, 조리방식이 끓이기이고, 매운맛 재료로 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:07
Q1,얼큰한 국물 요리,4,266,대구지리탕,0.7435,1,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 붉은 고추가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:09
Q1,얼큰한 국물 요리,5,630,설렁탕쑥떡볶이,0.7406,1,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 홍고추가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:11
Q1,얼큰한 국물 요리,6,334,주꾸미연포탕,0.7355,1,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:13
Q1,얼큰한 국물 요리,7,427,코다리맑은탕,0.7336,0,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",2026-04-23T14:07:14
Q1,얼큰한 국물 요리,8,578,초계탕,0.725,0,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",2026-04-23T14:07:15
Q1,얼큰한 국물 요리,9,138,부대된장찌개,0.7232,1,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 홍고추가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:17
Q1,얼큰한 국물 요리,10,137,된장 두부찌개,0.722,1,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 고춧가루가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:19
Q2,다이어트 샐러드,1,82,건강그린 샐러드와 고소한 두유드레싱,0.6331,0,"형태가 '샐러드'로 명시되어 있으나, 드레싱에 마요네즈가 포함되어 있어 고칼로리 주재료 조건을 충족하지 못했다.",2026-04-23T14:07:20
Q2,다이어트 샐러드,2,865,구운 닭고기 샐러드와 저나트륨 과일 드레싱,0.6314,0,"형태가 '샐러드'로 명시되어 있으나, 카테고리가 '반찬'으로 되어 있어 형태와 카테고리 간의 불일치가 발생하며, 드레싱이 저나트륨 과일 드레싱으로 고칼로리 주재료가 아님이 명시되지 않아 불확실하다.",2026-04-23T14:07:22
Q2,다이어트 샐러드,3,201,민들레 샐러드,0.6221,1,"형태가 '샐러드'로 명시되어 있고, 칼로리가 1인분 350 kcal 이하이며, 드레싱이 고칼로리 주재료가 아닌 간장과 레몬즙으로 구성되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:24
Q2,다이어트 샐러드,4,826,참기름 드레싱의 즉석 샐러드,0.6214,1,"형태가 '샐러드'로 명시되어 있고, 칼로리가 1인분 350 kcal 이하이며, 드레싱이 고칼로리 주재료가 아닌 참기름 기반으로 되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:26
Q2,다이어트 샐러드,5,236,닭가슴살카나페,0.6174,0,"형태가 '샐러드'가 아니며, 닭가슴살카나페는 반찬으로 분류되어 샐러드 형태 조건을 충족하지 않는다.",2026-04-23T14:07:27
Q2,다이어트 샐러드,6,895,아보카도 두부 샐러드,0.6127,0,형태가 '반찬'으로 명시되어 있어 샐러드 형태 조건을 충족하지 않는다.,2026-04-23T14:07:29
Q2,다이어트 샐러드,7,986,나스와 샐러드,0.6067,1,"형태가 '샐러드'로 명시되어 있고, 1인분 칼로리가 350 kcal 이하이며, 드레싱이 고칼로리 주재료가 아닌 올리브오일과 식초 기반이므로 모든 조건을 충족했다.",2026-04-23T14:07:30
Q2,다이어트 샐러드,8,210,두릅 샐러드,0.6011,0,"형태가 '샐러드'로 명시되어 있으나, 조리방식이 '굽기'로 제공되어 샐러드 형태의 요리가 아님.",2026-04-23T14:07:32
Q2,다이어트 샐러드,9,346,토마토제철나물 샐러드,0.5995,1,"형태가 '샐러드'로 명시되어 있고, 칼로리가 1인분 350 kcal 이하이며, 드레싱이 고칼로리 주재료가 아닌 것으로 확인되어 모든 조건이 충족되었다.",2026-04-23T14:07:33
Q2,다이어트 샐러드,10,386,다이어트국수,0.5959,0,형태가 '샐러드'가 아닌 '국수'로 명시되어 있어 형태 조건을 충족하지 않는다.,2026-04-23T14:07:34
Q3,아이 간식,1,3183,바나나미숫가루쉐이크,0.5505,1,"카테고리가 후식이며, 자극 재료와 강한 향신료가 없어서 모든 조건을 충족했다.",2026-04-23T14:07:35
Q3,아이 간식,2,613,인절미 무스와 수정과 아이스크림,0.549,0,강한 향신료인 계피와 생강이 포함되어 있어 자극 재료 없음 조건을 충족하지 못했다.,2026-04-23T14:07:37
Q3,아이 간식,3,1110,완두콩 롤,0.5447,1,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",2026-04-23T14:07:38
Q3,아이 간식,4,1135,군고구마 라떼,0.5445,1,"카테고리가 후식이며, 자극 재료와 강한 향신료가 없고, 모든 조건이 명시적으로 충족되었다.",2026-04-23T14:07:39
Q3,아이 간식,5,1131,쌀콩죽 요거트,0.5405,1,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",2026-04-23T14:07:40
Q3,아이 간식,6,1057,누룽지 요거트 파르페,0.5362,1,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",2026-04-23T14:07:41
Q3,아이 간식,7,1058,자색고구마 호떡,0.5349,0,재료 목록에 계피가루가 포함되어 있어 강한 향신료 조건을 불충족했다.,2026-04-23T14:07:43
Q3,아이 간식,8,1115,바나나 생강 크림이 들어간 미숫가루 쿠키슈,0.5348,0,강한 향신료인 생강이 포함되어 있어 조건을 불충족했다.,2026-04-23T14:07:44
Q3,아이 간식,9,1112,약밥 닮은 호떡,0.532,0,"카테고리는 후식으로 충족하지만, 재료 목록에 계피가루가 포함되어 있어 강한 향신료 조건을 불충족한다.",2026-04-23T14:07:46
Q3,아이 간식,10,1106,코마레티,0.5304,0,강한 향신료인 코코넛슬라이스가 포함되어 있어 자극 재료 조건을 충족하지 못했다.,2026-04-23T14:07:47
Q4,매운 반찬,1,383,매운닭날개구이,0.7399,1,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루와 멕시코고추가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:49
Q4,매운 반찬,2,3016,매운락교무침,0.7292,1,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:50
Q4,매운 반찬,3,827,고추 장떡,0.7007,1,"카테고리가 반찬이며, 매운맛 재료인 고추가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:51
Q4,매운 반찬,4,306,오색볶음면,0.6957,0,"카테고리가 일품으로 반찬에 해당하지 않으며, 매운맛 재료가 명시적으로 포함되어 있지 않아 조건을 충족하지 못했다.",2026-04-23T14:07:53
Q4,매운 반찬,5,869,낙지볶음면,0.6869,0,"카테고리가 일품으로 반찬에 해당하지 않으며, 매운맛 재료가 포함되어 있지만 카테고리 조건을 충족하지 않아 불충족.",2026-04-23T14:07:54
Q4,매운 반찬,6,739,꼬막떡꼬치구이,0.6817,1,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:56
Q4,매운 반찬,7,3298,매운요거트 토마토샐러드,0.6794,1,"카테고리가 반찬이며, 매운맛 재료로 고추장이 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:57
Q4,매운 반찬,8,880,낙지강회,0.6735,1,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:07:58
Q4,매운 반찬,9,3572,참나물 매콤함박스테이크,0.672,1,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",2026-04-23T14:08:00
Q4,매운 반찬,10,3087,잎채소튀김,0.6718,0,매운맛 재료가 포함되어 있지 않아 매운 반찬 조건을 충족하지 못했다.,2026-04-23T14:08:01
Q5,고단백 요리,1,572,옥음밥,0.6644,0,"단백질 함량이 1인분 6g으로 20g 이상이 아니며, 주재료가 고단백 식재료가 아니다.",2026-04-23T14:08:02
Q5,고단백 요리,2,628,삼색샐러드와두부구이,0.6608,0,"단백질 함량이 1인분 20g 이상이 아니며, 주재료가 고단백 식재료로 분류되지 않는다.",2026-04-23T14:08:04
Q5,고단백 요리,3,563,미니함박스테이크,0.6531,1,"단백질 함량이 1인분 26g으로 20g 이상이며, 주재료가 고단백 식재료인 소고기와 돼지고기로 구성되어 있다.",2026-04-23T14:08:05
Q5,고단백 요리,4,616,다마고도후,0.6527,0,"단백질 함량이 1인분 9g으로 20g 이상이 아니며, 주재료가 고단백 식재료가 아니다.",2026-04-23T14:08:06
Q5,고단백 요리,5,587,두부 카프리제,0.6437,0,"단백질 함량이 1인분 20g 이상이 아니며, 주재료가 고단백 식재료로 분류되지 않음.",2026-04-23T14:08:08
Q5,고단백 요리,6,3006,저염 겉절이,0.6428,0,"단백질 함량이 1인분 2g으로 고단백 요리 조건을 충족하지 못하고, 주재료가 고단백 식재료가 아니다.",2026-04-23T14:08:10
Q5,고단백 요리,7,299,생선베이컨말이,0.6392,0,"단백질 함량이 20g 이상이 아니며, 주재료가 고단백 식재료로 명시되지 않았기 때문에 조건을 충족하지 않는다.",2026-04-23T14:08:11
Q5,고단백 요리,8,575,음메꼬꼬돌돌,0.6387,1,"단백질 함량이 1인분 42g으로 20g 이상이며, 주재료로 소고기와 닭고기가 포함되어 있어 고단백 식재료 조건을 충족한다.",2026-04-23T14:08:13
Q5,고단백 요리,9,3084,두부튀김&무소스,0.6367,0,"단백질 함량이 1인분 9g으로 20g 이상이 아니며, 주재료가 고단백 식재료인 두부가 포함되어 있지만 정량 기준을 충족하지 못해 불충족.",2026-04-23T14:08:14
Q5,고단백 요리,10,798,쇠고기와 검은콩 요리,0.6353,1,"단백질이 1인분 24g으로 정량 조건을 충족하며, 주재료인 쇠고기가 고단백 식재료로 확인되었다.",2026-04-23T14:08:16
